time,temperature,humidity,ec,ph
2025-05-30 0:00,31.9,34.2,7.6,1
2025-05-30 1:00,31.7,35.5,7.6,1
2025-05-30 2:00,31.5,36.9,7.6,1
2025-05-30 3:00,31.3,37.9,7.6,1
2025-05-30 4:00,31.1,38.5,7.6,1
2025-05-30 5:00,31,39.1,7.6,1
2025-05-30 6:00,30.8,39.9,7.6,1
2025-05-30 7:00,30.6,40.7,7.6,1
2025-05-30 8:00,30.5,41.2,7.6,1
2025-05-30 9:00,25.6,41.7,7.6,1
2025-05-30 10:00,24.7,41.9,7.6,1
2025-05-30 11:00,24.6,41.2,7.6,1
2025-05-30 12:00,24.4,40.4,7.5,1
2025-05-30 13:00,24.4,39.3,7.4,1
2025-05-30 14:00,24.2,31.4,7.4,1
2025-05-30 15:00,24,30.8,7.4,1
2025-05-30 16:00,24.3,35.1,7.4,1
2025-05-30 17:00,24.4,38.4,7.4,1
2025-05-30 18:00,24.6,40.1,7.5,1
2025-05-30 19:00,23.3,38,7.5,1
2025-05-30 20:00,21.5,50.6,7.5,1
2025-05-30 21:00,19.2,67.9,7.6,1
2025-05-30 22:00,19,72.3,7.6,1
2025-05-30 23:00,18.9,72.4,7.6,1
2025-05-31 0:00,20.4,59,7.6,1
2025-05-31 1:00,22.3,46.8,7.6,1
2025-05-31 2:00,23.3,44.3,7.6,1
2025-05-31 3:00,23.8,42.7,7.6,1
2025-05-31 4:00,23.8,41.5,7.6,1
2025-05-31 5:00,23.8,40.8,7.6,1
2025-05-31 6:00,23.8,40.9,7.6,1
2025-05-31 7:00,23.8,40.7,7.6,1
2025-05-31 8:00,23.9,41.2,7.6,1
2025-05-31 9:00,24.1,41.1,7.6,1
2025-05-31 10:00,24.2,39.6,7.6,1
2025-05-31 11:00,24.1,39.9,7.6,1
2025-05-31 12:00,24,38.5,7.6,1
2025-05-31 13:00,24.1,39,7.6,1
2025-05-31 14:00,24.2,38.8,7.6,1
2025-05-31 15:00,24.2,39.5,7.6,1
2025-05-31 16:00,24.2,38.6,7.5,1
2025-05-31 17:00,24.5,41.7,7.5,1
2025-05-31 18:00,24.4,38.9,7.6,1
2025-05-31 19:00,24.4,40.9,7.6,1
2025-05-31 20:00,21.7,51.4,7.6,1
2025-05-31 21:00,19.2,67.7,7.6,1
2025-05-31 22:00,18.9,75.4,7.6,1
2025-05-31 23:00,18.9,77.4,7.6,1
2025-06-01 0:00,20.3,61.6,7.6,1
2025-06-01 1:00,22.2,47.4,7.6,1
2025-06-01 2:00,23.1,44.4,7.6,1
2025-06-01 3:00,23.5,43.6,7.6,1
2025-06-01 4:00,23.7,42,7.6,1
2025-06-01 5:00,23.7,42.1,7.6,1
2025-06-01 6:00,23.8,42,7.6,1
2025-06-01 7:00,23.8,41.4,7.6,1
2025-06-01 8:00,24.1,42.1,7.6,1
2025-06-01 9:00,23.9,39.6,7.6,1
2025-06-01 10:00,24,40.7,7.6,1
